xR,xEGF,xRa,xR2,xRP,xPLCg,xRPL,xRPLP,xPLCgP,xGrb,xRG,xSOS,xRGS,xGS,xShc,xRSh,xRShP,xShP,xRShG,xShG,xRShGS,xShGS,xPLCgPI,xe1,xerp,xe2,xeplcg,xe3,xeshp
-0.64463353,-0.64463353,-15.133558,-28.005346,-2.3563592,3.0476813,27.380985,15.146135,1.6828259,3.988203,-3.0438519,1.0358304,-0.9478676,-0.44898605,0.08161156,-0.012942752,-0.18103075,-0.3010531,-0.047636993,0.14156409,0.016046032,0.34479582,-47.269463,0.057441913,-0.057441913,-0.021484157,0.021484157,0.041355856,-0.041355856
-0.6631621,-0.6631621,-15.125139,-27.855812,-2.312362,3.1441488,26.757881,15.585075,1.744765,3.975625,-3.0438416,0.9691753,-0.9418123,-0.4956628,0.06902725,-0.011556739,-0.16685608,-0.41947195,-0.0474171,0.08733933,0.0062596165,0.46185333,-47.225475,0.07367107,-0.07367107,-0.0016472944,0.0016472944,-0.020819675,0.020819675
-0.64445686,-0.64445686,-15.101174,-27.771168,-2.21618,3.2336051,26.156553,15.995673,1.7749577,3.9629962,-3.0419497,0.98902625,-0.9442642,-0.47853395,0.07229376,-0.0036756601,-0.18669572,-0.3758685,-0.060868643,0.13147663,-0.00013197276,0.43371323,-47.167923,0.052458238,-0.052458238,-0.012844652,0.012844652,0.010245062,-0.010245062
-0.6201651,-0.6201651,-15.195915,-27.429777,-2.3031118,3.320578,25.565277,16.398232,1.831619,3.9440536,-3.0485306,0.95207953,-0.9457722,-0.44111878,0.10440996,0.00887432,-0.19077615,-0.39290777,-0.058395147,0.117705055,-0.010697814,0.44533667,-47.15734,0.07497585,-0.07497585,-0.04770337,0.04770337,0.023552068,-0.023552068
-0.6201842,-0.6201842,-15.17268,-27.471504,-2.0833445,3.4042315,24.988615,16.793032,1.840934,3.912424,-3.0416703,0.95718944,-0.95557827,-0.46419066,0.13085087,-0.0031908108,-0.17627206,-0.49509376,-0.08050653,0.16980991,-0.007621249,0.47000223,-47.027523,0.0631362,-0.0631362,-0.010019816,0.010019816,0.007982716,-0.007982716
-0.6333835,-0.6333835,-15.002502,-27.246065,-2.219704,3.4845457,24.42805,17.171852,1.8228593,3.857208,-3.050084,0.9278556,-0.95301604,-0.4816852,0.1367804,-0.005361676,-0.17113344,-0.5940903,-0.08188502,0.20552726,0.003250897,0.5033692,-46.93123,0.0558651,-0.0558651,-0.030732464,0.030732464,-0.0035397569,0.0035397569
-0.62854624,-0.62854624,-14.919191,-27.12613,-2.19605,3.5794024,23.8688,17.530386,1.8250017,3.8420577,-3.0480387,0.9603569,-0.9490774,-0.39382344,0.11886494,0.0042072604,-0.18144098,-0.4990652,-0.082288936,0.25159958,0.006158737,0.37616333,-46.809418,0.05052651,-0.05052651,-0.012320618,0.012320618,-0.0057975063,0.0057975063
-0.6033387,-0.6033387,-14.897812,-26.954851,-2.2150965,3.6577077,23.328278,17.882912,1.8948355,3.85561,-3.0520697,0.8916485,-0.9519132,-0.38733467,0.12186345,-0.014725255,-0.16421458,-0.4800189,-0.0845453,0.17565492,0.008474553,0.43887496,-46.76716,0.029597603,-0.029597603,-0.009304266,0.009304266,0.0013678474,-0.0013678474
-0.59166837,-0.59166837,-14.846825,-26.745869,-2.277288,3.7349339,22.807657,18.217245,1.907101,3.7315633,-3.0417838,0.897688,-0.9525006,-0.39418072,0.12080928,-0.026442245,-0.13440892,-0.5997736,-0.08550497,0.29648933,0.012924673,0.43582225,-46.651585,0.052571263,-0.052571263,0.007397649,-0.007397649,0.019919764,-0.019919764
-0.58397865,-0.58397865,-14.652212,-26.715256,-2.2351203,3.811174,22.29868,18.541546,1.9929116,3.7079992,-3.0504944,0.87219363,-0.9597231,-0.35426453,0.13202779,-0.0315277,-0.14966205,-0.5609789,-0.076094426,0.2939967,0.010374495,0.43117267,-46.640167,0.01239155,-0.01239155,-0.0058519957,0.0058519957,0.049308848,-0.049308848
